2026-05-15 07:46:26.294 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 16 seconds
2026-05-15 07:46:28.298 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 14 seconds
2026-05-15 07:46:28.815 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 13 seconds
2026-05-15 07:46:30.504 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 12 seconds
2026-05-15 07:46:31.080 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 11 seconds
2026-05-15 07:46:32.714 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 9 seconds
2026-05-15 07:46:33.296 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 9 seconds
2026-05-15 07:46:39.721 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:46:40.627 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:47:12.174 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 33 seconds
2026-05-15 07:47:12.281 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 33 seconds
2026-05-15 07:47:14.330 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 31 seconds
2026-05-15 07:47:14.464 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 31 seconds
2026-05-15 07:47:16.652 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 28 seconds
2026-05-15 07:47:17.166 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 28 seconds
2026-05-15 07:47:18.864 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 26 seconds
2026-05-15 07:47:19.338 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 26 seconds
